"acc","accuracy","achteruit_corr","achteruit_max_span","answer","average_response_time","avg_rt","background","bidi","break_sum","break_test","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_InstructieVooruit","correct_Welcome","correct_new_sketchpad","count_Backward_adult","count_Backward_child","count_DS","count_DS_2","count_DS_3","count_DS_rac","count_DS_rac_1","count_Forward_adult","count_Forward_child","count_Getallen","count_InstructieAchteruit","count_InstructieVooruit","count_InstructieVooruit_1","count_InstructieVooruit_1_1","count_OefenBackward_adult","count_OefenBackward_child","count_Welcome","count_Welcome_","count_Welcome_2","count_create_backup","count_new_feedback","count_new_feedback_1","count_new_feedback_1_1","count_new_feedback_1_1_1","count_new_feedback_1_2","count_new_inline_script","count_new_inline_script_2","count_new_inline_script_4","count_new_inline_script_4_1","count_new_inline_script_6","count_new_inline_script_7","count_new_inline_script_8","count_new_logger","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_1_1","count_new_sketchpad_3","count_new_sketchpad_4","count_reset","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","item","keyboard_backend","live_row","live_row_Forward_child","logfile","mouse_backend","new_column_2","new_column_3","new_column_4","new_column_5","new_column_6","new_column_7","new_column_8","opensesame_codename","opensesame_version","prev_response_corr","prev_span","repeat_cycle","reponse_corr","response","response_InstructieAchteruit","response_InstructieVooruit","response_InstructieVooruit_1","response_InstructieVooruit_1_1","response_Welcome","response_Welcome_2","response_corr","response_correct","response_incorrect","response_new_feedback","response_new_feedback_1","response_new_feedback_1_1","response_new_feedback_1_1_1","response_new_feedback_1_2","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_1_1","response_new_sketchpad_3","response_new_sketchpad_4","response_time","response_time_InstructieAchteruit","response_time_InstructieVooruit","response_time_InstructieVooruit_1","response_time_InstructieVooruit_1_1","response_time_Welcome","response_time_Welcome_2","response_time_new_feedback","response_time_new_feedback_1","response_time_new_feedback_1_1","response_time_new_feedback_1_1_1","response_time_new_feedback_1_2","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_1_1","response_time_new_sketchpad_3","response_time_new_sketchpad_4","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","span","start","stim","subject_nr","subject_parity","time_Backward_adult","time_Backward_child","time_DS","time_DS_2","time_DS_3","time_DS_rac","time_DS_rac_1","time_Forward_adult","time_Forward_child","time_Getallen","time_InstructieAchteruit","time_InstructieVooruit","time_InstructieVooruit_1","time_InstructieVooruit_1_1","time_OefenBackward_adult","time_OefenBackward_child","time_Welcome","time_Welcome_","time_Welcome_2","time_create_backup","time_new_feedback","time_new_feedback_1","time_new_feedback_1_1","time_new_feedback_1_1_1","time_new_feedback_1_2","time_new_inline_script","time_new_inline_script_2","time_new_inline_script_4","time_new_inline_script_4_1","time_new_inline_script_6","time_new_inline_script_7","time_new_inline_script_8","time_new_logger","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_1_1","time_new_sketchpad_3","time_new_sketchpad_4","time_reset","title","total_corr","total_correct","total_response_time","total_responses","trial","uniform_coordinates","vooruit_corr","vooruit_max_span","width"
"undefined","undefined","0","0","2-9","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","0","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","0","0","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","2va_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","a","legacy","0","0","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","2","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","620","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","620","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","2","Getallen","NA","110001","odd","NA","NA","3952","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","4572","3946","NA","NA","NA","NA","NA","5400","3952","NA","NA","NA","NA","NA","New experiment","1","0","1456","1","1","yes","1","2","1024"
"undefined","undefined","0","0","4-6","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","1","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","1","0","NA","NA","0","NA","NA","1","1","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","2vb_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","b","legacy","1","1","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","2","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","596","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","596","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","2","Getallen","NA","110001","odd","NA","NA","5417","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","6014","3946","NA","NA","NA","NA","NA","6338","5417","NA","NA","NA","NA","NA","New experiment","2","0","1456","1","2","yes","2","2","1024"
"undefined","undefined","0","0","3-8-6","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","2","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","2","0","NA","NA","0","NA","NA","2","2","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","3va_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","a","legacy","2","2","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","3","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","262","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","262","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","3","Getallen","NA","110001","odd","NA","NA","6352","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","6616","3946","NA","NA","NA","NA","NA","6857","6353","NA","NA","NA","NA","NA","New experiment","3","0","1456","1","3","yes","3","3","1024"
"undefined","undefined","0","0","6-1-2","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","3","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","3","0","NA","NA","0","NA","NA","3","3","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","3vb_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","b","legacy","3","3","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","3","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","229","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","229","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","3","Getallen","NA","110001","odd","NA","NA","6870","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","7100","3946","NA","NA","NA","NA","NA","7307","6870","NA","NA","NA","NA","NA","New experiment","4","0","1456","1","4","yes","4","3","1024"
"undefined","undefined","0","0","3-4-1-7","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","4","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","4","0","NA","NA","0","NA","NA","4","4","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","4va_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","a","legacy","4","4","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","4","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","213","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","213","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","4","Getallen","NA","110001","odd","NA","NA","7332","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","7547","3946","NA","NA","NA","NA","NA","7632","7333","NA","NA","NA","NA","NA","New experiment","5","0","1456","1","5","yes","5","4","1024"
"undefined","undefined","0","0","6-1-5-8","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","5","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","5","0","NA","NA","0","NA","NA","5","5","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","4vb_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","b","legacy","5","5","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","4","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","219","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","219","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","4","Getallen","NA","110001","odd","NA","NA","7645","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","7865","3946","NA","NA","NA","NA","NA","7956","7646","NA","NA","NA","NA","NA","New experiment","6","0","1456","1","6","yes","6","4","1024"
"undefined","undefined","0","0","8-4-2-3-9","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","6","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","6","0","NA","NA","0","NA","NA","6","6","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","5va_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","a","legacy","6","6","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","5","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","196","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","196","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","5","Getallen","NA","110001","odd","NA","NA","7969","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","8166","3946","NA","NA","NA","NA","NA","8245","7970","NA","NA","NA","NA","NA","New experiment","7","0","1456","1","7","yes","7","5","1024"
"undefined","undefined","0","0","5-2-1-8-6","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","7","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","7","0","NA","NA","0","NA","NA","7","7","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","5vb_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","b","legacy","7","7","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","5","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","181","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","181","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","5","Getallen","NA","110001","odd","NA","NA","8258","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","8440","3946","NA","NA","NA","NA","NA","8541","8259","NA","NA","NA","NA","NA","New experiment","8","0","1456","1","8","yes","8","5","1024"
"undefined","undefined","0","0","3-8-9-1-7-4","1456","1456","#000000","no","2","0","legacy","legacy","legacy","0","vooruit","uniform","undefined","undefined","undefined","undefined","0","0","8","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","8","0","NA","NA","0","NA","NA","8","8","NA","NA","NA","NA","0","06/15/22 15:05:13","The main experiment item","yes","VerbalWM_v1.0.osexp","C:\Users\emmaneuroscience\Documents\emma_toolbox\Tests\VerbalWM","6va_child.wav","no","serif","no","18","no","#ffffff","no","<span color=\"lime\">CORRECT</span>","yes","768","a","legacy","8","8","C:\Users\emmaneuroscience\Documents\emma_toolbox/Data/Raw/VerbalWM/verbalwm-subject-110001.csv","legacy","NA","NA","NA","NA","NA","NA","NA","Jazzy James","3.1.9","1","6","0","X","space","NA","space","NA","NA","k","NA","1","yes","no","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","592","NA","555","NA","NA","1456","NA","NA","NA","NA","NA","NA","592","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","6","Getallen","NA","110001","odd","NA","NA","8554","NA","NA","NA","NA","NA","3946","1929","NA","3391","NA","NA","NA","NA","1933","1931","NA","NA","NA","NA","NA","NA","NA","9146","3946","NA","NA","NA","NA","NA","9350","8554","NA","NA","NA","NA","NA","New experiment","9","0","1456","1","9","yes","9","6","1024"
