"","subject","d_visuom","d_proc","d_vis_mem","d_ver_mem","d_ver_wm","d_vis_wm"
"1",110002,0.239927086181737,-0.334564874143142,0.451769503901785,0.407997887242626,0.133695922764897,0.199003042127473
"2",110003,1.02608974344146,-0.735973433628216,0.785275441741635,0.0105221946132253,-2.22840577302255,1.89404684802343
"3",110004,0.703015949377213,-0.200752230781015,-0.405023283334078,-0.570065686012684,0.9069059594307,-0.351283993980331
"4",110005,-0.150012830858679,-0.84699500333581,-0.522285793546936,-1.19332697909228,0.357681653459964,-0.747655638405153
"5",110007,0.560007809839741,-0.213305921859976,0.958752333979094,-0.684592907053883,-0.339139786874499,0.901712868630611
"6",110009,-0.203955386347399,0.534337696196467,-1.22910698387553,0.544859867529718,0.394702483937466,-0.831256540969334
"7",110010,-0.490029636474716,-1.65551387923183,-0.0169771956083018,-0.840507639322355,0.556093204803151,-0.273647299726861
"8",110012,0.488023376528458,-0.130158608202348,0.403926483030997,-1.78529953438395,0.426917987845131,1.22574757365145
"9",110013,0.627193592751148,1.27208712222044,0.429192117049038,0.485528961345215,-0.969315391026516,-0.821693181449392
"10",110015,-0.30886767394782,0.143531862977899,-1.58940777630907,-0.288084577088073,0.573326402456469,-0.0463185892955962
"11",110016,0.562807293488925,0.650118728493428,0.896590199944473,1.08351883483784,1.17960560555107,0.90025762627453
"12",110017,0.333215416609455,0.663595507956543,0.0593214993122859,-1.19427192141669,-0.29004798468129,0.841582621698243
"13",110018,-1.18117526760965,-1.25521091099562,-0.596235140491778,-3.14077890149462,1.15666760589281,-0.557703005045595
"14",110019,-0.969381751502526,-1.11982561068986,-1.27444552791076,0.163338574028572,0.479184153864973,-1.53421311121973
"15",110020,0.360963876597049,0.572624742184727,-0.942325757867416,-0.0928832577603919,0.226762615129189,0.206591141905173
"16",110021,0.736919556133684,0.472855710040715,0.260171071170516,1.54074761842766,0.163716211251175,-0.227597701415147
"17",110022,-0.79826589405468,-0.209249736610488,1.91690773576567,0.19191654963208,-1.54674009024489,0.684811698983982
"18",110023,0.775435044744292,0.467689820507775,0.65551782451907,0.258774673039435,0.39672734032689,-0.0880010004099265
"19",110024,0.28422095155897,-0.649034361213528,-0.653571744482721,0.31231831261241,-0.12783956725654,-0.256685581861253
"20",110025,0.808801918143976,0.379788716252185,0.71369243831617,1.05847289537338,-2.63295728949333,1.11437672965201
"21",110026,0.360327925731417,0.238847206337235,-0.654831628001912,0.970849242902274,1.01111734518167,-2.25607712609271
"22",110027,-0.0161386696369477,-0.241392636885787,1.46910971540588,-1.47175295459918,0.403222434911972,0.128194665055033
"23",110028,0.449628815251231,1.56346004492018,0.177505297201508,1.64727074151052,-0.832095533146344,-0.136120438055029
"24",110029,0.622571364213346,1.08387317930426,0.775523168635908,0.440902478668562,0.718312456509212,-0.823425086907402
"25",110031,-1.38522526727695,0.171347424880992,-1.5900493763111,1.7797093731415,-0.389767883987757,-1.14137522615493
"26",110032,0.335992529973405,0.187017402952897,-0.0337114107906497,0.695388729022994,-0.0958506389831237,-0.0349675260661482
"27",110035,0.421111221410558,0.801221556677659,1.23763744779156,0.757471422217101,0.401227554419514,0.152452912338018
"28",110036,0.272281810635448,-0.86526484505229,0.884149189102988,-1.09463341495698,-1.8702161265586,1.57346878911222
"29",110037,0.0715324187826344,0.790397357479833,0.323501831556975,0.934398217542947,-0.375569564745232,-0.295182864821917
"30",110040,-0.0572425485335683,0.939911342325671,-0.115681571850607,-0.605927808806169,0.785965201142861,0.125196248259715
"31",110041,-2.80909816853106,-0.398868709784465,0.534148035192995,0.855014356941633,1.07622515838454,-1.0968167713607
"32",110042,0.755216837368457,-0.154610612411956,-2.08140627802692,-0.308252582749099,-0.246932676322752,-0.165067994191446
"33",110045,-0.232039092994744,-0.0769568295153212,0.575410598836265,0.980930999862972,-0.837901415243746,-0.795611777276333
"34",110046,-1.90578075241776,0.43465706910024,1.09839886288089,-1.3352080057528,0.692865044380448,-0.114376192341815
"35",120001,-1.48809518752454,-0.333009778190347,-0.664675701434537,0.158605492051524,1.43684075233006,-0.819142717979672
"36",120002,0.570060925657384,0.269815471778563,0.0778366521428892,0.829543348446715,-1.74356637875732,-0.132824658583275
"37",120003,0.939639623165585,0.545681629809665,0.626812357272332,0.894454727481359,-1.03167232477936,1.0077763316031
"38",120005,0.187533971213857,0.807359119285531,1.0826543027279,0.876437506357326,-0.442885225022436,0.20696162752062
"39",120006,-0.371400524892261,-0.95048369322934,0.586284111021311,-1.05065140623101,0.209882077802614,0.831576271401649
"40",120007,0.183225875292093,-1.14457200843566,-1.27113269688199,1.23547143222908,0.739451953857479,-1.25205010332501
"41",120008,0.754522520778695,-1.67820346921789,0.938340443733345,-1.57636850908445,0.640482995341834,1.32091085776978
"42",120009,1.22817050838973,1.10435815488714,-0.745613375910926,-0.174310450997583,-0.142673393753895,1.34788519878837
"43",120011,0.81614393105782,0.713592729493039,0.445871893795981,0.677343799364954,-0.440155205231238,0.427325310212617
"44",120012,-1.96508121371886,0.307252763908447,-1.55328840001161,-0.167227671673374,0.555962962580411,-0.375070464132822
"45",120014,-0.200276530674888,-0.341175842473614,-0.374096156941864,-0.149034418419518,0.250477922346854,0.214567270488749
"46",120015,0.403956251748273,-1.43394260212141,-0.828817917143494,-0.388321066276673,-0.481619276759456,1.05177151201553
"47",120016,-1.55538838636757,-0.325236041633758,-1.53421289722167,-1.06686767360737,0.979155363752837,-0.591707439068416
"48",120017,0.992519341959801,1.03534781444283,0.947610087701329,-0.0641124386476906,-0.283249470798851,-0.02393611507516
"49",120019,0.995188446096578,-0.271199662623755,0.802755788633292,0.426602327145043,0.539649873426498,0.880927968638064
"50",120020,0.58502527074873,-0.447213384435237,-0.293241861773282,-0.542799299308701,0.72642129685269,-0.235231483905412
"51",120021,0.756387132115092,0.838206075371965,0.412193861067766,0.493867328704216,-1.24553489574243,1.31335925431731
"52",120022,-0.782373950719793,-0.462517538715388,0.565469475764632,-0.036996369927013,-0.265006632865271,-1.03227220813969
"53",120023,-0.180223200918549,0.178415395242379,-0.361291849113755,1.11972293062491,-0.774655637277015,0.855944772089418
"54",120024,-0.00223934079190242,-0.659938518497755,-0.386218779131647,0.483774892709145,0.668781921849556,-1.99972710293041
"55",120025,0.0943111922680898,-0.137214453496348,-0.691748187882587,0.0108669454146728,-0.149917532838638,0.0892605884219895
"56",120026,-2.24967825345948,0.104993552383453,-0.682932477341356,-2.50434718635907,0.995686233628155,-0.438670788792487
